Date,"HRC, Exy-Mumbai, India, 2.5-8mm / CTL, IS2062, Gr E250 Br.","CNF_MET COKE, 64% CNF East coast India, China ,25-90mm $/t   90","Fe 62 : Iron Ore Fines, CNF Rizhao, China : Fines, Fe 61% (Australia Origin) 5540","HCC : Coking Coal, CNF Paradip, India : HCC 64 Mid Vol, Australia-origin","Pellet Index, PELLEX, DAP-Raipur, India 6-20 mm, Fe 63% 1401","Mumbai: Scrap Price 80:20 INR/t, 1047","Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428",HRC-FOB-Rizhao-China-fob-USD 2.5 mm,"HRC, FOB Black Sea, Russia : 3mm,SAE1006 , 58","HRC, Exy-Delhi, India, 2.5-8mm / CTL, IS2062, Gr E250 Br.","Platts North European HRC, EXW Ruhr $/t","CRC, Exy-Mumbai, India,0.90mm / CTL, IS 513, CR1",India INR/USD,Vessel Freight,BDI,NCDEX Steel Future INR/t,India Production Quantity of Flat Steel in MnT,"Price : HR Plate, Exy-Mumbai, India : 5-10mm,Gr E250 Br. INR"
2025-02-09,48600.0,253.0,103.4,148.8,9850.0,32100.0,4800.0,475.0,480.0,47500.0,607.94,53700.0,86.62,12.4,792,42570.0,1224000.0,49000.0
2025-02-16,48500.0,250.0,105.6,144.6,9800.0,32433.3333333333,4850.0,470.0,485.0,47300.0,611.05,54250.0,86.572,13.2,981,42612.0,1224000.0,49000.0
2025-02-23,48350.0,245.0,105.8,143.0,9800.0,32500.0,5000.0,470.0,485.0,47250.0,628.92,55100.0,87.466,13.5,1229,42136.0,1224000.0,49000.0
2025-03-02,48200.0,228.0,105.6,142.6,9825.0,32716.6666666667,5050.0,475.0,485.0,47600.0,633.44,55100.0,87.1,14.5,1400,42635.0,1230672.81,49000.0
2025-03-09,48750.0,235.0,99.6,143.0,9850.0,32400.0,5100.0,470.0,485.0,50000.0,648.25,56250.0,86.941,13.9,1669,42608.0,1247354.84,49000.0
2025-03-16,49600.0,235.0,99.75,142.5,9850.0,32400.0,5100.0,465.0,485.0,50000.0,682.61,56500.0,85.99,13.5,1643,42500.0,1247354.84,49500.0
2025-03-23,50650.0,233.0,101.2,139.2,9975.0,32666.6666666667,5100.0,465.0,480.0,50850.0,688.02,57300.0,85.534,15.0,1602,42798.0,1247354.84,49600.0
2025-03-30,52000.0,233.0,101.0,138.6,10175.0,32900.0,5200.0,470.0,480.0,52500.0,687.275,57600.0,85.502,16.25,1489,43832.0,1247354.84,51500.0
2025-04-06,52350.0,233.0,101.8,139.0,10250.0,33366.6666666667,5200.0,465.0,480.0,52500.0,702.215,57950.0,86.2,16.0,1274,44457.5,1160193.55,52000.0
2025-04-13,51900.0,233.0,96.2,142.6,10250.0,33650.0,5200.0,465.0,480.0,51750.0,715.85,58400.0,85.457,16.0,1261,43772.5,1145666.67,51500.0
2025-04-20,51400.0,232.0,97.2,146.0,10200.0,33916.6666666667,5250.0,455.0,480.0,51000.0,738.79,58500.0,85.385,15.0,1373,43543.3333333333,1145666.67,51500.0
2025-04-27,52050.0,232.0,98.0,148.5,10050.0,33600.0,5300.0,455.0,480.0,51750.0,655.0,59000.0,84.527,15.05,1421,43464.0,1145666.67,52500.0
2025-05-04,52850.0,232.0,96.75,150.5,9875.0,33366.6666666667,5300.0,455.0,465.0,51750.0,670.0,59550.0,85.409,15.01,1299,42860.0,1142225.81,53000.0
2025-05-11,52500.0,232.0,96.75,149.4,9800.0,33000.0,5300.0,450.0,465.0,52000.0,640.0,59600.0,85.5,14.58,1388,42684.0,1139645.16,53000.0
2025-05-18,51950.0,232.0,99.25,149.0,9750.0,32866.6666666667,5100.0,458.0,462.0,51850.0,660.0,58900.0,85.2,14.5,1340,42582.0,1139645.16,53300.0
2025-05-25,51850.0,227.0,98.2,149.0,9475.0,32733.3333333333,5100.0,455.0,460.0,51350.0,688.575,58350.0,85.525,14.48,1418,42616.0,1139645.16,52800.0
2025-06-01,51450.0,220.0,95.4,148.0,9325.0,32550.0,5100.0,455.0,460.0,51100.0,679.0,58450.0,85.786,14.68,1633,42076.0,1153538.71,52000.0
2025-06-08,51400.0,216.0,94.0,146.6,9250.0,31900.0,5050.0,445.0,455.0,51000.0,682.31,58350.0,86.108,14.45,1968,42034.0,1236900.0,52000.0
2025-06-15,51200.0,209.0,93.4,141.8,9225.0,31333.3333333333,5050.0,445.0,455.0,51000.0,675.0,58050.0,86.58,14.0,1689,41710.0,1236900.0,52000.0
2025-06-22,50850.0,209.0,91.6,135.6,9200.0,30633.3333333333,4800.0,445.0,450.0,50900.0,674.0,57950.0,85.455,13.5,1521,41598.0,1236900.0,52000.0
2025-06-29,50750.0,204.0,91.4,133.2,9150.0,30800.0,4800.0,445.0,450.0,50700.0,657.49,57900.0,85.497,13.65,1436,41280.0,1236900.0,51900.0
2025-07-06,50400.0,204.0,92.4,137.4,8900.0,30833.3333333333,4850.0,445.0,450.0,50250.0,641.44,56900.0,85.825,14.5,1663,41064.0,1232312.9,51600.0
2025-07-13,49700.0,204.0,94.0,135.6,9200.0,30683.3333333333,5000.0,450.0,450.0,49500.0,625.39,56350.0,86.15,15.5,2052,40736.0,1231548.39,51000.0
2025-07-20,49200.0,208.0,96.8,135.6,9600.0,30500.0,5200.0,458.0,450.0,49150.0,635.08,56000.0,86.503,15.8,2257,40176.0,1231548.39,50500.0
2025-07-27,48750.0,211.0,101.4,141.0,9800.0,30583.3333333333,5350.0,478.0,445.0,48850.0,639.25,56050.0,87.245,16.5,2018,40438.0,1231548.39,50000.0
2025-08-03,49200.0,222.0,99.0,148.2,10050.0,30700.0,5350.0,490.0,445.0,48700.0,663.25,56250.0,87.489,16.7,2051,40746.0,1249548.39,50000.0
2025-08-10,50200.0,227.0,99.0,148.6,10100.0,31360.0,5500.0,480.0,450.0,49100.0,667.18,57000.0,87.513,16.5,2044,40878.0,1273548.39,50300.0
2025-08-17,50000.0,227.0,101.0,152.75,10100.0,31500.0,5500.0,495.0,450.0,49300.0,667.48,57000.0,87.331,16.45,1944,40630.0,1273548.39,50500.0
2025-08-24,49875.0,229.0,99.2,156.8,10375.0,31466.6666666667,5500.0,485.0,455.0,49250.0,670.26,57000.0,88.174,17.0,2025,40594.0,1273548.39,50500.0
2025-08-31,49600.0,233.0,100.2,156.2,10350.0,30833.3333333333,5500.0,480.0,455.0,48950.0,672.05,56900.0,88.187,17.05,1979,39930.0,1273548.39,50700.0
2025-09-07,49500.0,233.0,101.6,155.4,10200.0,30950.0,5500.0,475.0,460.0,48900.0,674.46,56750.0,88.277,17.5,2126,39196.0,1344000.0,50800.0
2025-09-14,49350.0,226.0,104.2,156.8,10300.0,31300.0,5500.0,480.0,460.0,48700.0,673.61,56375.0,88.1,18.21,2203,39810.0,1344000.0,50500.0
2025-09-21,49150.0,221.0,103.8,158.2,10300.0,31200.0,5300.0,480.0,460.0,48500.0,669.45,56050.0,88.677,18.55,2259,39406.0,1344000.0,50000.0
2025-09-28,48900.0,221.0,104.6,164.0,10300.0,31266.6666666667,5300.0,485.0,465.0,47750.0,668.13,56000.0,88.735,18.77,1901,40074.0,1344000.0,50000.0
2025-10-05,48500.0,223.0,101.8,164.0,10300.0,30700.0,5300.0,470.0,465.0,47400.0,659.98,55800.0,88.757,18.77,1936,39882.5,1279645.16,50000.0
2025-10-12,48300.0,228.0,102.4,163.2,10300.0,30266.6666666667,5300.0,470.0,460.0,47200.0,678.68,55700.0,88.003,18.77,2069,39264.0,1253903.23,49800.0
2025-10-19,47850.0,228.0,104.8,162.8,10250.0,29916.6666666667,5300.0,465.0,460.0,47000.0,690.5,55400.0,87.836,17.85,1991,38806.0,1253903.23,49000.0
2025-10-26,47850.0,228.0,103.5,164.5,10000.0,29666.6666666667,5300.0,460.0,455.0,47000.0,700.17,55400.0,88.769,18.09,1966,38596.6666666667,1253903.23,49000.0
2025-11-02,47200.0,233.0,105.0,168.2,9925.0,29900.0,5300.0,460.0,455.0,46700.0,700.67,55000.0,88.665,18.13,2104,38372.0,1260978.49,49000.0
2025-11-09,47450.0,228.0,103.4,180.8,10000.0,30266.6666666667,5400.0,465.0,450.0,46600.0,711.05,55400.0,88.689,18.13,2125,38725.0,1278666.67,49600.0
2025-11-16,47000.0,228.0,101.0,177.2,9725.0,29900.0,5500.0,460.0,445.0,46500.0,701.86,55050.0,89.641,18.15,2275,39056.0,1278666.67,49600.0
2025-11-23,46450.0,233.0,102.8,173.8,9700.0,29600.0,5600.0,460.0,440.0,46250.0,700.05,54750.0,89.357,17.98,2560,39708.0,1278666.67,49000.0
2025-11-30,46100.0,233.0,104.4,169.6,9650.0,29900.0,5600.0,470.0,440.0,46000.0,709.92,54150.0,89.945,17.75,2727,40134.0,1278666.67,48600.0
2025-12-07,45750.0,229.0,105.4,168.8,9650.0,30216.6666666667,5700.0,475.0,445.0,45400.0,721.83,53900.0,90.584,17.79,2205,40790.0,1293870.97,46700.0
2025-12-14,45850.0,229.0,104.0,168.8,9450.0,30300.0,5700.0,470.0,445.0,45550.0,722.48,53750.0,89.577,17.19,2023,40244.0,1293870.97,46800.0
2025-12-21,46800.0,229.0,104.2,170.8,9400.0,30633.3333333333,5700.0,465.0,450.0,46050.0,730.03,54100.0,89.796,16.78,1877,39946.0,1293870.97,46800.0
2025-12-28,48650.0,227.0,106.0,172.0,9450.0,30980.0,5750.0,465.0,460.0,47750.0,728.79,55300.0,90.014,16.41,1882,40957.5,1293870.97,48000.0
2026-01-04,51000.0,226.0,107.0,172.0,9700.0,31600.0,5800.0,465.0,460.0,50000.0,725.05,57600.0,90.244,15.85,1688,43110.0,1315806.45,50400.0
2026-01-11,50900.0,220.0,108.2,172.0,9700.0,31700.0,5800.0,465.0,460.0,50500.0,732.12,57000.0,90.709,15.75,1567,42836.0,1332258.06,51400.0
2026-01-18,51850.0,220.0,109.2,182.0,9725.0,31960.0,5900.0,473.0,460.0,50250.0,742.21,57450.0,91.675,16.07,1762,42860.0,1332258.06,52000.0
2026-01-25,52450.0,225.0,105.2,207.6,9800.0,32316.6666666667,6000.0,470.0,460.0,51600.0,762.86,58000.0,91.694,16.41,2148,44310.0,1332258.06,53000.0
2026-02-01,53250.0,230.0,104.25,214.5,9900.0,32500.0,6000.0,470.0,465.0,52750.0,764.82,58950.0,90.596,16.9,1923,45010.0,1331935.48,53400.0
2026-02-08,53850.0,240.0,102.8,210.2,10200.0,32766.0,6000.0,465.0,465.0,53500.0,772.45,59700.0,90.555,16.92,2083,44760.0,1330000.0,55100.0
2026-02-15,53650.0,242.0,100.8,208.0,10550.0,33416.0,6000.0,465.0,460.0,53550.0,771.04,59600.0,90.73,17.04,2043,43800.0,1330000.0,55200.0
2026-02-22,53650.0,242.0,98.0,192.0,10550.0,33650.0,5800.0,465.0,455.0,53750.0,785.92,59600.0,91.076,17.04,2140,43150.0,1330000.0,54600.0
2026-03-01,53850.0,242.0,98.4,190.2,10500.0,33350.0,5800.0,465.0,475.0,53100.0,809.0,59850.0,91.933,17.26,2010,44410.0,1334193.55,54000.0
2026-03-08,54750.0,242.0,101.25,183.0,10800.0,33750.0,5800.0,460.0,475.0,53950.0,790.0,60750.0,92.54,22.81,2028,44360.0,1359354.84,54400.0
2026-03-15,55900.0,238.0,106.4,177.0,11075.0,33950.0,5750.0,475.0,475.0,54900.0,813.0,61950.0,93.69,28.4,2056,44300.0,1359354.84,55600.0
2026-03-22,56650.0,238.0,110.0,175.0,10900.0,33800.0,5850.0,480.0,505.0,56400.0,816.0,63400.0,94.78,27.35,2031,44210.0,1359354.84,56900.0
2026-03-29,57700.0,238.0,109.8,183.0,10800.0,34500.0,5850.0,490.0,505.0,57200.0,813.0,65000.0,93.23,27.25,2066,46170.0,1359354.84,58200.0
2026-04-05,59600.0,243.0,109.2,188.0,10650.0,35460.0,5800.0,500.0,505.0,59850.0,821.83,67100.0,93.09,23.15,2201,46680.0,1341720.43,59100.0
2026-04-12,59600.0,245.0,108.0,187.75,10900.0,36083.0,5750.0,505.0,490.0,60150.0,838.08,67250.0,92.6,21.9,2567,45530.0,1334666.67,59500.0
2026-04-19,59200.0,245.0,106.8,179.6,10600.0,35600.0,5750.0,505.0,490.0,59250.0,838.16,66650.0,94.11,21.8,2675,45210.0,1334666.67,59500.0
2026-04-26,58650.0,252.0,108.8,178.0,10400.0,35383.0,5600.0,505.0,495.0,57900.0,825.34,65750.0,94.25,21.7,2665,45090.0,1334666.67,59300.0
2026-05-03,57850.0,252.0,108.8,180.0,10225.0,35300.0,5550.0,505.0,500.0,56700.0,823.48,65200.0,94.91,22.2,2730,45350.0,1306537.63,58800.0
2026-05-10,58200.0,252.0,112.0,180.5,10025.0,34617.0,5500.0,510.0,525.0,56550.0,834.04,65300.0,94.43,24.5,2978,44540.0,1269032.26,58800.0
2026-05-17,58700.0,257.0,112.8,180.6,9900.0,34500.0,5500.0,520.0,525.0,56500.0,803.32,65500.0,95.93,24.5,3195,44210.0,1269032.26,58100.0
2026-05-24,58700.0,260.0,108.8,178.8,9700.0,35100.0,5100.0,520.0,540.0,56500.0,794.81,65000.0,95.69,24.5,2991,43580.0,1269032.26,58100.0
2026-05-31,58550.0,267.0,106.6,180.6,9525.0,34967.0,5100.0,520.0,540.0,56750.0,793.97,65100.0,95.0,24.5,3224,43650.0,1269032.26,58100.0
2026-06-07,58350.0,272.0,104.5,191.6,9400.0,33975.0,5100.0,520.0,540.0,57700.0,785.13,65200.0,94.8,24.3,2981,43310.0,1311333.33,58100.0
2026-06-14,58300.0,277.0,102.2,204.25,9600.0,33442.0,4950.0,520.0,540.0,57850.0,794.81,65200.0,94.6,24.3,2729,43000.0,1311333.33,57600.0
2026-06-21,58250.0,282.0,101.8,200.0,9100.0,33200.0,4950.0,515.0,545.0,57900.0,794.81,65200.0,94.55,24.3,2722,43000.0,1311333.33,57600.0
